category,topic,question,answer,data
nutrition,Rice,What is the nutritional value of Rice?,"Rice contains 130 calories, 2.7g protein, 28.0g carbs, and 0.3g fat per serving.","{'food_name': 'Rice', 'calories': 130, 'protein': 2.7, 'carbs': 28.0, 'fat': 0.3, 'category': 'grain', 'calories_per_100g': 130, 'protein_ratio': 0.020610687022900764, 'carb_ratio': 0.21374045801526717, 'fat_ratio': 0.0022900763358778627, 'calorie_density': 'low'}"
nutrition,Chicken Breast,What is the nutritional value of Chicken Breast?,"Chicken Breast contains 165 calories, 31.0g protein, 0.0g carbs, and 3.6g fat per serving.","{'food_name': 'Chicken Breast', 'calories': 165, 'protein': 31.0, 'carbs': 0.0, 'fat': 3.6, 'category': 'protein', 'calories_per_100g': 165, 'protein_ratio': 0.18674698795180722, 'carb_ratio': 0.0, 'fat_ratio': 0.021686746987951807, 'calorie_density': 'medium'}"
nutrition,Apple,What is the nutritional value of Apple?,"Apple contains 52 calories, 0.3g protein, 14.0g carbs, and 0.2g fat per serving.","{'food_name': 'Apple', 'calories': 52, 'protein': 0.3, 'carbs': 14.0, 'fat': 0.2, 'category': 'fruit', 'calories_per_100g': 52, 'protein_ratio': 0.005660377358490566, 'carb_ratio': 0.2641509433962264, 'fat_ratio': 0.0037735849056603774, 'calorie_density': 'low'}"
nutrition,Egg,What is the nutritional value of Egg?,"Egg contains 68 calories, 6.0g protein, 0.6g carbs, and 4.8g fat per serving.","{'food_name': 'Egg', 'calories': 68, 'protein': 6.0, 'carbs': 0.6, 'fat': 4.8, 'category': 'protein', 'calories_per_100g': 68, 'protein_ratio': 0.08695652173913043, 'carb_ratio': 0.008695652173913044, 'fat_ratio': 0.06956521739130435, 'calorie_density': 'low'}"
nutrition,Banana,What is the nutritional value of Banana?,"Banana contains 89 calories, 1.1g protein, 23.0g carbs, and 0.3g fat per serving.","{'food_name': 'Banana', 'calories': 89, 'protein': 1.1, 'carbs': 23.0, 'fat': 0.3, 'category': 'fruit', 'calories_per_100g': 89, 'protein_ratio': 0.012222222222222223, 'carb_ratio': 0.25555555555555554, 'fat_ratio': 0.003333333333333333, 'calorie_density': 'low'}"
nutrition,Milk,What is the nutritional value of Milk?,"Milk contains 42 calories, 3.4g protein, 5.0g carbs, and 1.0g fat per serving.","{'food_name': 'Milk', 'calories': 42, 'protein': 3.4, 'carbs': 5.0, 'fat': 1.0, 'category': 'dairy', 'calories_per_100g': 42, 'protein_ratio': 0.07906976744186046, 'carb_ratio': 0.11627906976744186, 'fat_ratio': 0.023255813953488372, 'calorie_density': 'very_low'}"
nutrition,Bread,What is the nutritional value of Bread?,"Bread contains 79 calories, 2.7g protein, 15.0g carbs, and 1.0g fat per serving.","{'food_name': 'Bread', 'calories': 79, 'protein': 2.7, 'carbs': 15.0, 'fat': 1.0, 'category': 'grain', 'calories_per_100g': 79, 'protein_ratio': 0.03375, 'carb_ratio': 0.1875, 'fat_ratio': 0.0125, 'calorie_density': 'low'}"
nutrition,Fish,What is the nutritional value of Fish?,"Fish contains 206 calories, 22.0g protein, 0.0g carbs, and 12.0g fat per serving.","{'food_name': 'Fish', 'calories': 206, 'protein': 22.0, 'carbs': 0.0, 'fat': 12.0, 'category': 'protein', 'calories_per_100g': 206, 'protein_ratio': 0.10628019323671498, 'carb_ratio': 0.0, 'fat_ratio': 0.057971014492753624, 'calorie_density': 'medium'}"
fitness,Walking,How many calories does Walking burn?,Walking burns approximately 200 calories per hour. It's a low intensity cardio exercise.,"{'exercise_name': 'Walking', 'calories_per_hour': 200, 'intensity': 'low', 'type': 'cardio'}"
fitness,Running,How many calories does Running burn?,Running burns approximately 600 calories per hour. It's a high intensity cardio exercise.,"{'exercise_name': 'Running', 'calories_per_hour': 600, 'intensity': 'high', 'type': 'cardio'}"
fitness,Cycling,How many calories does Cycling burn?,Cycling burns approximately 400 calories per hour. It's a medium intensity cardio exercise.,"{'exercise_name': 'Cycling', 'calories_per_hour': 400, 'intensity': 'medium', 'type': 'cardio'}"
fitness,Swimming,How many calories does Swimming burn?,Swimming burns approximately 500 calories per hour. It's a high intensity cardio exercise.,"{'exercise_name': 'Swimming', 'calories_per_hour': 500, 'intensity': 'high', 'type': 'cardio'}"
fitness,Yoga,How many calories does Yoga burn?,Yoga burns approximately 180 calories per hour. It's a low intensity flexibility exercise.,"{'exercise_name': 'Yoga', 'calories_per_hour': 180, 'intensity': 'low', 'type': 'flexibility'}"
fitness,Weight Lifting,How many calories does Weight Lifting burn?,Weight Lifting burns approximately 300 calories per hour. It's a medium intensity strength exercise.,"{'exercise_name': 'Weight Lifting', 'calories_per_hour': 300, 'intensity': 'medium', 'type': 'strength'}"
fitness,Dancing,How many calories does Dancing burn?,Dancing burns approximately 350 calories per hour. It's a medium intensity cardio exercise.,"{'exercise_name': 'Dancing', 'calories_per_hour': 350, 'intensity': 'medium', 'type': 'cardio'}"
general,general,How to improve health?,"To improve health: eat balanced diet, exercise regularly, get 7-8 hours sleep, stay hydrated, manage stress, and have regular checkups.",{}
nutrition,nutrition,What foods are good for heart?,"Heart-healthy foods include: salmon, walnuts, berries, oats, dark chocolate, leafy greens, avocado, and olive oil.",{}
hydration,hydration,How much water should I drink daily?,Adults should drink 2-3 liters (8-10 glasses) of water daily. More if exercising or in hot weather.,{}
bmi,bmi,What is a healthy BMI range?,"Healthy BMI range is 18.5-24.9. Below 18.5 is underweight, 25-29.9 is overweight, 30+ is obese.",{}
